,country,qii,gdp,iso_a3,continent,year,pop
382,Netherlands,192.4,46027.694,NLD,Europe,2016,17018408
290,United States,192.49,56770.397,USA,North America,2015,320896618
187,Germany,192.69,48218.87,DEU,Europe,2014,80982500
284,Sweden,193.86,50565.098,SWE,Europe,2015,9799186
0,Switzerland,194.11,83958.545,CHE,Europe,2012,7996861
197,United States,195.55,54992.725,USA,North America,2014,318563456
280,Germany,195.94,41415.169,DEU,Europe,2015,81686611
380,Australia,198.79,51982.827,AUS,Oceania,2016,24127159
104,United States,199.56,53061.235,USA,North America,2013,316204908
373,Germany,199.7,42460.686,DEU,Europe,2016,82667685
376,New Zealand,201.06,38982.796,NZL,Oceania,2016,4692700
94,Germany,204.84,46544.947,DEU,Europe,2013,80645605
186,Switzerland,206.23,87161.617,CHE,Europe,2014,8188649
379,Denmark,206.49,54665.215,DNK,Europe,2016,5731118
372,Switzerland,208.54,80490.76,CHE,Europe,2016,8372098
93,Switzerland,215.71,85675.755,CHE,Europe,2013,8089346
279,Switzerland,222.94,82510.452,CHE,Europe,2015,8282396
